Aufgabe,	Testname,	Ergebnisse
Datenbeschaffung,	IdStartPunkt,	Passed
Datenbeschaffung,	KoordinatenStartPunkt,	Passed
Datenaufbereitung,	SteigungKleiner90Grad,	Passed
Datenaufbereitung,	SteigungWertebereich,	Failed
Datenaufbereitung,	MinKurvenRadius,	Failed
Datenaufbereitung,	DistanceToNext,	Failed
Sollfahrtbestimmung,	Vmax kleiner Vmax_Limited,	Passed
Sollfahrtbestimmung,	Nur positive Geschwindigkeit,	Passed
Fahrphysik,	IdStartPunkt,	Passed
Fahrphysik,	KoordinatenStartPunkt,	Passed
Fahrphysik,	GeschwindigkeitStartPunkt,	Passed
Fahrphysik,	KeinNaNmehr,	Passed
Fahrphysik,	MaxSpeedRealistisch,	Passed
